	key	id	title	transliterated_name	title_uri
0	1096	yt/lex/A/abdul.htm	Abdul	abvdui	https://www.museumoffamilyhistory.com/yt/lex/A/abdul.htm
1	1098	moyt/lex/A/abelman-tsipa-V5.htm	Tsipa Abelman	tsye (tspurh) aveiman	https://www.museumoffamilyhistory.com/moyt/lex/A/abelman-tsipa-V5.htm
2	1099	moyt/lex/A/abelson-ben-zion-V5.htm	Ben-Zion Abelson	vn-tsyun veison	https://www.museumoffamilyhistory.com/moyt/lex/A/abelson-ben-zion-V5.htm
3	1100	yt/lex/A/aberman-isaac.htm	Isaac Aberman	ytskhk (haver) averman	https://www.museumoffamilyhistory.com/yt/lex/A/aberman-isaac.htm
4	1101	yt/lex/A/abragam-ida.htm	Ida Abragam	yd (eitenshteyn) avragam	https://www.museumoffamilyhistory.com/yt/lex/A/abragam-ida.htm
5	1102	yt/lex/A/abramov-a.htm	A. Abramov	 (brhm kagan) avramov	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-a.htm
6	1103	yt/lex/A/abramov-adolf.htm	Adolf Abramov	adoif (brhm perkof) avramov	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-adolf.htm
7	1104	yt/lex/A/abramov-boris.htm	Boris Abramov	vorys (eyniand) avramov	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-boris.htm
8	1105	yt/lex/A/abramov-mary.htm	Mary Abramov	mery (mrym eynhorn) avramov	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-mary.htm
9	1106	yt/lex/A/abramov.htm	Abramov	avramov	https://www.museumoffamilyhistory.com/yt/lex/A/abramov.htm
10	742	yt/lex/A/abramovich-bina.htm	Bina Abramovich	vyne (uks) avramovytsh	https://www.museumoffamilyhistory.com/yt/lex/A/abramovich-bina.htm
11	694	yt/lex/A/abramovich-max.htm	Max Abramovich	maks (mendi) avramovytsh	https://www.museumoffamilyhistory.com/yt/lex/A/abramovich-max.htm
12	1107	yt/lex/A/abramovits-ch-e.htm	Ch.E. Abramovits	kh e avramovyts	https://www.museumoffamilyhistory.com/yt/lex/A/abramovits-ch-e.htm
13	1108	yt/lex/A/abramovitsh-chaim.htm	Chaim Abramovitsh	kheym avramovytsh	https://www.museumoffamilyhistory.com/yt/lex/A/abramovitsh-chaim.htm
14	1109	yt/lex/A/abramovitsh-isaak.htm	Isaak Abramovitsh	yzok avramovytsh	https://www.museumoffamilyhistory.com/yt/lex/A/abramovitsh-isaak.htm
15	1110	yt/lex/A/abrams-adolph.htm	Adolph Abrams	adoif (vramovytsh) avrms	https://www.museumoffamilyhistory.com/yt/lex/A/abrams-adolph.htm
16	1111	yt/lex/A/abrams-david.htm	David Abrams	dud eyvrms	https://www.museumoffamilyhistory.com/yt/lex/A/abrams-david.htm
17	1112	yt/lex/A/abramski-g.htm	G. Abramski	g avramsky	https://www.museumoffamilyhistory.com/yt/lex/A/abramski-g.htm
18	735	yt/lex/A/abramson-ivan.htm	Ivan Abramson	eyvan avramson	https://www.museumoffamilyhistory.com/yt/lex/A/abramson-ivan.htm
19	1113	yt/lex/A/achron-joseph.htm	Joseph Achron	yusf khrn	https://www.museumoffamilyhistory.com/yt/lex/A/achron-joseph.htm
20	1114	yt/lex/A/adershleger-moshe-yakov.htm	Moshe Yakov Adershleger	mshh yekb dershieger	https://www.museumoffamilyhistory.com/yt/lex/A/adershleger-moshe-yakov.htm
21	1115	yt/lex/A/adler-amelia.htm	Amelia Adler	emyiye (shrh-myike shtang) adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-amelia.htm
22	1116	yt/lex/A/adler-benny.htm	Benny Adler	veny adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-benny.htm
23	1117	yt/lex/A/adler-celia.htm	Celia Adler	tsyie adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-celia.htm
24	1118	moyt/lex/A/adler-esther-V5.htm	Esther Adler	ssr (shatsky) adier	https://www.museumoffamilyhistory.com/moyt/lex/A/adler-esther-V5.htm
25	1119	yt/lex/A/adler-frances.htm	Frances Adler	rentsys adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-frances.htm
26	1120	yt/lex/A/adler-hyman.htm	Hyman Adler	heyman (varteid) adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-hyman.htm
27	1121	yt/lex/A/adler-israel.htm	Israel Adler	yshri adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-israel.htm
28	706	yt/lex/A/adler-jacob-p.htm	Jacob P. Adler	yekb p (yekb vn pnkhs) adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-jacob-p.htm
29	1122	yt/lex/A/adler-julia.htm	Julia Adler	dzhuiy adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-julia.htm
30	1125	moyt/lex/A/adler-katya-V5.htm	Katya Adler	ktyh adier (gurainyk)	https://www.museumoffamilyhistory.com/moyt/lex/A/adler-katya-V5.htm
31	740	yt/lex/A/adler-sam.htm	Sam Adler	sem adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-sam.htm
32	1126	yt/lex/A/adler-sarah.htm	Sarah Adler	dier sara	https://www.museumoffamilyhistory.com/yt/lex/A/adler-sarah.htm
33	1127	yt/lex/A/adler-stella.htm	Stella Adler	steia adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-stella.htm
34	1128	yt/lex/A/adler-yirmeyahu.htm	Yirmeyahu Adler	yrmyhu (goidenverg-tversky) adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-yirmeyahu.htm
35	1129	yt/lex/A/adler-yuzhe.htm	Yuzhe Adler	yuzhe adier	https://www.museumoffamilyhistory.com/yt/lex/A/adler-yuzhe.htm
36	1130	yt/lex/A/adolfi.htm	Adolfi	adoiy	https://www.museumoffamilyhistory.com/yt/lex/A/adolfi.htm
37	1131	yt/lex/A/afrat-nikolai.htm	Nikolai Afrat	nykoiey rs	https://www.museumoffamilyhistory.com/yt/lex/A/afrat-nikolai.htm
38	1132	yt/lex/A/agid-sam.htm	Sam Agid	sem (shimh) aged	https://www.museumoffamilyhistory.com/yt/lex/A/agid-sam.htm
39	1134	yt/lex/A/albertson-leo.htm	Leo Albertson	iea aibertson	https://www.museumoffamilyhistory.com/yt/lex/A/albertson-leo.htm
40	1135	yt/lex/A/aleksandrov-aaron.htm	Aaron Aleksandrov	hrn oieksandrov	https://www.museumoffamilyhistory.com/yt/lex/A/aleksandrov-aaron.htm
41	1136	yt/lex/A/aleksandrov-ch.htm	Ch. Aleksandrov	kh (vyiyam myier) oieksandrov	https://www.museumoffamilyhistory.com/yt/lex/A/aleksandrov-ch.htm
42	1137	yt/lex/A/alkan-yehoshua.htm	Yehoshua Alkan	y (yhushe eikyn) aikon	https://www.museumoffamilyhistory.com/yt/lex/A/alkan-yehoshua.htm
43	1138	yt/lex/A/alman-shmuel.htm	Shmuel Alman	shmui aiman	https://www.museumoffamilyhistory.com/yt/lex/A/alman-shmuel.htm
44	1139	yt/lex/A/almi-a.htm	A. Almi	 (iyhu kheym sheps) imy	https://www.museumoffamilyhistory.com/yt/lex/A/almi-a.htm
45	1142	moyt/lex/A/alperovitsh-isak-V5.htm	Isak Alperovitsh	ysak aiperovytsh	https://www.museumoffamilyhistory.com/moyt/lex/A/alperovitsh-isak-V5.htm
46	1143	moyt/lex/A/altboym-sonya-V5.htm	Sonya Altboym	sony itvoym (starodub)	https://www.museumoffamilyhistory.com/moyt/lex/A/altboym-sonya-V5.htm
47	1144	yt/lex/A/altman-boris.htm	Boris Altman	vorys aitman	https://www.museumoffamilyhistory.com/yt/lex/A/altman-boris.htm
48	1146	yt/lex/A/altman-morris.htm	Morris Altman	morys aitman	https://www.museumoffamilyhistory.com/yt/lex/A/altman-morris.htm
49	1147	moyt/lex/A/altman-moshe-V5.htm	Moshe Altman	mshh aitmn	https://www.museumoffamilyhistory.com/moyt/lex/A/altman-moshe-V5.htm
50	1149	yt/lex/A/altshuler-leyb.htm	Leyb Altshuler	ieyv aitshuier	https://www.museumoffamilyhistory.com/yt/lex/A/altshuler-leyb.htm
51	1150	yt/lex/A/amasia-alex.htm	Alex Amasia	aieks (aieksander) amasya	https://www.museumoffamilyhistory.com/yt/lex/A/amasia-alex.htm
52	1151	yt/lex/A/amasia-hersh.htm	Hersh Amasia	hersh amasya	https://www.museumoffamilyhistory.com/yt/lex/A/amasia-hersh.htm
53	1152	yt/lex/A/amatin-peter.htm	Peter Amatin	peter (pskh goidverg) amatyn	https://www.museumoffamilyhistory.com/yt/lex/A/amatin-peter.htm
